District,Pharmacy Name,Address,Phone
الجنوب - صيدا,السراي - الدكتوران - صيدا,صيدا حي الدكتوران دوار السراي اووتسترد الشرقى ملك وفاء صيلي عقار 1732,03/339678; 07/72740
الجنوب - صيدا,الصفاء - الزراعية,الزراعية الطريق العام ملك علي خليل عقار 1837,07/305309; 03/413263
الجنوب - صيدا,الغازية - الغازية,الغازية - ملك سعيد مصطفى عيسى,07/220028
الجنوب - صيدا,المروج - غسانية,الغسانية - الشارع العام - ملك محمدسليم عباس فوزا,07/420880
الجنوب - صيدا,الهاني - الهلالية - صيدا,الهلالية - جزيان-ملك محمد الجردلي عقار 263 قسم 6,08/872920; 07/722975
الجنوب - صيدا,ايليا - مغدوشة,مغدوشة - حي الدورة - الشارع العام - ملك كلود مارون يونان,07/200884
الجنوب - صيدا,بزون - البيسارية,البيسارية العاقبة شارع صيدا/صور ملك احمد عبد الكريم خليفة عقار 712,03/828920; 07/260640; 1/92200
الجنوب - صيدا,بعاصيري - عبرا,عبرا الشارع العام - بديع ونصار ملك بعاصيري عقار 937,76/818806; 07/725623
الجنوب - صيدا,دادو - غسانية,الغسانية - الشارع الرئيسي - البيدر ملك وطفي فواز عقار 649,03/543117; 07/420050
الجنوب - صيدا,داليا - عين الدلب,عين الدلب - حي الفوار - شارع صيدا - جباع(الحوشة) - عقار رقم 229 القسم VI,70/693650; 07/737142
الجنوب - صيدا,سما - الغازية,الغازية - حي الزاهرة - ملك احمد رضا محمد شكر,07/224012; 70/814197
الجنوب - صيدا,صيدا - صيدا,رقم 32-ملك حسن ومحمد منانا وكاملة يونس,03/879339
الجنوب - صيدا,صيدلية احمد - كفرحتي,كفرحتي منطقة قيوصف الشارع العام خط صيدا جباع عقار 1333 - نصر الله حمدي,71/595653; 07/215512
الجنوب - صيدا,صيدلية اربج - الغازية,الغازية - حي خلة السنديات - عقار 2477 - القسم 6 - ملك احمد خليفة,07/225850; 70/916723
الجنوب - صيدا,صيدلية الابتسام - كفرحتي,ملك محمد القبرصي والقسم VII - ملك احمد القبرصي,03/725058; 07/215051
الجنوب - صيدا,صيدلية بحمد - كفرملكي - صيدا,منطقة كفرملكي العقارية - عقار 2210-محل في الجهة الشرقية - ملك علي حمدي,07/720066
الجنوب - صيدا,صيدلية خوري - القريه,القريه الشارع العام ملك نبيل علي زيعور عقار 19 القسم 14 بلوك B,76/073632; 07/260735
الجنوب - صيدا,صيدلية زينه - الصولاني - صيدا,منطقة وسطاني العقارية - عقار 1534 القسم 12/13 A/ 13/9 ملك محمد يماني,03/721077; 07/722009
الجنوب - صيدا,صيدلية مرجان - الدكرمان - صيدا,منطقة الدكرمان العقارية - عقار 495 القسم 31/2 (ابتداء من الغرب بجانب بنك عوده),03/076390; 07/731701
الجنوب - صيدا,طالب - عربا,عبرا حي زكازيك شارع عبرا ملك بالل فياض عقار 5 و 4/656,03/290561; 07/721428
الجنوب - صيدا,عاطف البساط - صيدا,صيدا - رياض الصلح - البزري حي الدكتوران صيدا - رياض الصلح - البزري حي,71/535610; 07/721821; 03/767643
الجنوب - صيدا,على - تفاحا,تفاحا حي العريش الطريق العام عقار 992 ملك علي احمد عز الدين,70/098199; 07/421099
الجنوب - صيدا,كاعين - الغازية,الغازية شارع القاضي خليفة ملك علي الحلبي عقار 230,03/407269; 07/223349
الجنوب - صيدا,مرجان الجديدة - صيدا,صيدا - منطقة الدكتوران العقارية - شارع المطران 3 محلات في عقار 1/44,76/720700; 07/720700; 03/930808
الجنوب - صيدا,نادر - الهلالية - صيدا,الهلالية - طريق عين الدلب - اول مدخل حارة صيدا - بناية خالد شمس - ملك محمد صالح,07/737350
الجنوب - صيدا,نغم - صيدا,صيدا حي الدكتوران - شارع جمال الجبال - عقار رقم 2179/منطقة الدكتوران العقارية - القسم 6-ملك خلدون صفوة سعد المصري,70/013032; 07/752353
الجنوب - صيدا,وسام - الصرفند,طريق عام صيدا - صور بناية خليفة مقابل مستشفى علاو البن بناية خليفة / مقابل مستشفى علاو الدين / ملك وسام خزويبي,03/411471
الشمال - البترون,Basbina - بسيينا,البترون - حي الدورة - طريق اده - عقار رقم 2523 ملك عيسى جرجس المقدسي,70/916287; 06/744768
الشمال - البترون,Pharmaceutic - صيدلية مارتين - عقار رقم 2181 ملك ايل يونس,,06642803; 76878080
الشمال - البترون,الكسي - شكا,شكا - السهل - ملك وجيه سلوم وطونى نقولا عقار 1950 وجيه سلوم وطونى نقولا - طابق ارضي,03/346459; 06/540498
الشمال - البترون,جلبوط - البترون,البترون - البوابة ملك فريد الجلبوط عقار 2444/6,03/266200; 06/742003
الشمال - البترون,راجي - اجدرا,اجدرا - البترون - الطريق العام - ملك الشيخ ريمون الدكتور انطوان ابي راشد,06/725364
الشمال - البترون,سانت ريتا - بسيينا - Saintine Rita,البترون حي بسيينا الشارع العام عقار رقم 371 مقسم رقم 6 ملك ريتا ساروفيم,06/740602; 03/522456
الشمال - البترون,شكا,عقار رقم 8/1231 - حي البلاط - اوتوستراد الأرز - ملك سهيله حرقص,26/542682
الشمال - البترون,صيدلية داغر - البترون,البترون حي وطى برا بملكها عقار 2541 القسم رقم 5,03/705574; 06/740123
الشمال - الكورة,WannaMed Pharmacy - اميون - البحصاص,رأس مسقاط - طعة ضهر العين ملك مفرج عقار 76,06/954552
الشمال - الكورة,السناء - اميون - البحصاص,رأس مسقاط - طعة ضهر العين ملك مفرج عقار 76,06/411123; 03/214229
الشمال - الكورة,القديس بندلا - ميون - كوسبا,,03/663246; 06/651031
الشمال - الكورة,انجل - فيع,,03/794882; 06/510029
الشمال - الكورة,بلمند فارماسي - الشمال,,03/334711; 06/933035
الشمال - الكورة,جبور - كوسبا,,71/002791; 06/400411
الشمال - الكورة,رانيا فارما - النخلة,,03/859408; 06/510430
الشمال - الكورة,سان جورج - الكورة - عبا,,06/418678
الشمال - الكورة,سان ميشال - كفرعقا,,03/488688; 06/955688
الشمال - الكورة,سانت تقلا - كفرصارون,,03/920583; 06/953032
الشمال - الكورة,سانتا بريرا - كوسبا,,03/340564; 06/511640
الشمال - الكورة,سانتا مارينا - اميون,,03/350775; 06/950624; 06/651355
الشمال - الكورة,صيدلية المعتصم - الكورة,منطقة راس مسقا العقارية-العقار رقم 2813-المقسم 6-ملك نزهة فيطاريجي,76/396387
الشمال - الكورة,صيدلية داني - الوسطاني - صيدا,,03/949311; 07/721820
الشمال - الكورة,صيدلية ريما - كفرصارون,,03/745906; 06/953906
الشمال - الكورة,صيدلية شحادة - كفرعقا,,03/205898; 06/955898
الشمال - الكورة,عطيه - كفرصارون,,03/749291; 06/952500
الشمال - الكورة,قحات - Belmont Pharmacy,FIH AL KOURA AWAD SEMAAN GROUND FLOOR,06/933604; 03/742476
الشمال - الكورة,قطريب - راس مسقا,MAIN ROAD ST.MERRY,03/394532; 06/415543
الشمال - الكورة,م.ج.نعمه - بشمرين - MJ. NEHME Pharmacy,بشمزين الشارع العام قرب بنك بيلوس ملك ليديا حداد عقار 472 القسم 15,03/080221; 06/931999
